dataset,method,missing_ratio,auc,accuracy,ap,n_samples,n_anomalies
1_ALOI,Isolation Forest,,0.5624538989581855,0.503801897584281,0.036517594830021524,14861,452
1_ALOI,One-Class SVM,,0.5599275158040974,0.5058206042662001,0.04304492902859433,14861,452
1_ALOI,Local Outlier Factor,,0.7097608150510651,0.5173945225758697,0.07762221145369294,14861,452
1_ALOI,Elliptic Envelope,,0.5320507033153443,0.5033981562478972,0.031922327948805326,14861,452
1_ALOI,TabPFN Imputation2,,0.5469146618663236,0.5054168629298162,0.035761412739001776,14861,452
2_annthyroid,Isolation Forest,,0.7958218750000001,0.55,0.3153751475364446,2160,160
2_annthyroid,One-Class SVM,,0.699425,0.5324074074074074,0.2229882819524526,2160,160
2_annthyroid,Local Outlier Factor,,0.7570906250000001,0.55,0.19030497819310832,2160,160
2_annthyroid,Elliptic Envelope,,0.92964375,0.5740740740740741,0.5410029939579367,2160,160
2_annthyroid,TabPFN Imputation2,,0.69955625,0.5333333333333333,0.30542296679644826,2160,160
3_backdoor,Isolation Forest,,0.7467420944411115,0.5192139585300185,0.05083221269826119,28599,699
3_backdoor,One-Class SVM,,0.8826109752283089,0.5190041609846499,0.5210407643004666,28599,699
3_backdoor,Local Outlier Factor,,0.7763128842534907,0.515087940137767,0.20480135157114712,28599,699
3_backdoor,Elliptic Envelope,,0.9054632578030058,0.522570719255918,0.18401257046847563,28599,699
3_backdoor,TabPFN Imputation2,,0.8204102635100835,0.5181649708031749,0.419672486557504,28599,699
4_breastw,Isolation Forest,,0.9865288220551378,0.8536585365853658,0.9671556828591322,205,72
4_breastw,One-Class SVM,,0.9695071010860485,0.8341463414634146,0.9675882769113505,205,72
4_breastw,Local Outlier Factor,,0.535609857978279,0.5219512195121951,0.4125666741402346,205,72
4_breastw,Elliptic Envelope,,0.9849624060150376,0.8536585365853658,0.9649086269367826,205,72
4_breastw,TabPFN Imputation2,,0.8765664160401003,0.7707317073170732,0.8961370351575806,205,72
5_campaign,Isolation Forest,,0.7240381490741178,0.5607348061827304,0.3004360790989883,12357,1392
5_campaign,One-Class SVM,,0.734592499122076,0.5608966577648297,0.2780598204204637,12357,1392
5_campaign,Local Outlier Factor,,0.6173411285123512,0.528850044509185,0.18927241716509474,12357,1392
5_campaign,Elliptic Envelope,,0.7825639050060014,0.5696366431981873,0.331401122489131,12357,1392
5_campaign,TabPFN Imputation2,,0.6915898810740548,0.5523185239135713,0.21035046838320945,12357,1392
6_cardio,Isolation Forest,,0.9470407349758931,0.5963636363636363,0.631708467851691,550,53
6_cardio,One-Class SVM,,0.9466610986674766,0.5963636363636363,0.5330625265863526,550,53
6_cardio,Local Outlier Factor,,0.7479974184731027,0.5709090909090909,0.23234938692382182,550,53
6_cardio,Elliptic Envelope,,0.8561937663718158,0.5890909090909091,0.42455218278436774,550,53
6_cardio,TabPFN Imputation2,,0.9520139706161498,0.5963636363636363,0.644594483503702,550,53
7_Cardiotocography,Isolation Forest,,0.7612987012987013,0.6362204724409449,0.47328314927377907,635,140
7_Cardiotocography,One-Class SVM,,0.7272871572871573,0.6015748031496063,0.4494957870316756,635,140
7_Cardiotocography,Local Outlier Factor,,0.5772294372294373,0.5606299212598426,0.29964738280653314,635,140
7_Cardiotocography,Elliptic Envelope,,0.5141414141414141,0.49133858267716535,0.286287217274771,635,140
7_Cardiotocography,TabPFN Imputation2,,0.8158874458874458,0.6645669291338583,0.5019806736587284,635,140
8_celeba,Isolation Forest,,0.6852829478181968,0.5109246462652188,0.058319570843569576,60780,1364
8_celeba,One-Class SVM,,0.7837931736447858,0.515728858177032,0.10757391978298432,60780,1364
8_celeba,Local Outlier Factor,,0.4237855374916045,0.49466929911154983,0.01811346098881332,60780,1364
8_celeba,Elliptic Envelope,,0.7935702037959305,0.5166502138861467,0.0888098967821997,60780,1364
8_celeba,TabPFN Imputation2,,0.7409494260755813,0.5138367884172426,0.08017751457602727,60780,1364
9_census,Isolation Forest,,0.6160074668642948,0.5239458267435904,0.07436715254155486,89786,5570
9_census,One-Class SVM,,0.652505749940437,0.52842313946495,0.0845688670340252,89786,5570
9_census,Local Outlier Factor,,0.5629706116903119,0.5165281892499944,0.06891063860240272,89786,5570
9_census,Elliptic Envelope,,0.5,0.9379636023433497,0.062036397656650255,89786,5570
9_census,TabPFN Imputation2,,0.6321059666355081,0.5265742988884682,0.08012554015298247,89786,5570
10_cover,Isolation Forest,,0.9198403560262748,0.5096078774107091,0.06389416078603535,85815,824
10_cover,One-Class SVM,,0.9529331089653924,0.5096078774107091,0.09629877175501725,85815,824
10_cover,Local Outlier Factor,,0.5694963504416743,0.5020917089086989,0.017564495019365623,85815,824
10_cover,Elliptic Envelope,,0.6941124148724828,0.5081862145312591,0.014928826458924136,85815,824
10_cover,TabPFN Imputation2,,0.8595930574259547,0.5092815941269009,0.03955028702143949,85815,824
